Period,Level,Region,ICB,Org Code,Org Name,Metric,Metric Type,Metric Group,Value
01/08/2026,National,[z],[z],ENG,ENGLAND (Type 1 Trusts),Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,21082.00
01/08/2026,Region,EAST OF ENGLAND,[z],Y61,EAST OF ENGLAND,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,1909.00
01/08/2026,Region,LONDON,[z],Y56,LONDON,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,2753.00
01/08/2026,Region,MIDLANDS,[z],Y60,MIDLANDS,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,3972.00
01/08/2026,Region,NORTH EAST AND YORKSHIRE,[z],Y63,NORTH EAST AND YORKSHIRE,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,3388.00
01/08/2026,Region,NORTH WEST,[z],Y62,NORTH WEST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,3156.00
01/08/2026,Region,SOUTH EAST,[z],Y59,SOUTH EAST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,3262.00
01/08/2026,Region,SOUTH WEST,[z],Y58,SOUTH WEST,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,2642.00
01/08/2026,ICB,EAST OF ENGLAND,NHS ESSEX INTEGRATED CARE BOARD,D7T5G,NHS ESSEX INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,380.00
01/08/2026,ICB,EAST OF ENGLAND,NHS CENTRAL EAST INTEGRATED CARE BOARD,S1Y5D,NHS CENTRAL EAST INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,900.00
01/08/2026,ICB,EAST OF ENGLAND,NHS NORFOLK AND SUFFOLK INTEGRATED CARE BOARD,T6Y0W,NHS NORFOLK AND SUFFOLK INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,629.00
01/08/2026,ICB,LONDON,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,589.00
01/08/2026,ICB,LONDON,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,Number of patients who no longer meet the criteria to reside,Daily metric,NCTR,519.00
